match,date,country1,country2,phase
1,2026-06-11,Mexico,South Africa,group matches
2,2026-06-11,South Korea,Czech Republic,group matches
3,2026-06-12,Canada,Bosnia and Herzegovina,group matches
4,2026-06-12,United States,Paraguay,group matches
5,2026-06-13,Qatar,Switzerland,group matches
6,2026-06-13,Brazil,Morocco,group matches
7,2026-06-13,Haiti,Scotland,group matches
8,2026-06-13,Australia,Turkey,group matches
9,2026-06-14,Sweden,Tunisia,group matches
10,2026-06-14,Netherlands,Japan,group matches
11,2026-06-14,Germany,Curaçao,group matches
12,2026-06-14,Ivory Coast,Ecuador,group matches
13,2026-06-15,Belgium,Egypt,group matches
14,2026-06-15,Iran,New Zealand,group matches
15,2026-06-15,Spain,Cape Verde,group matches
16,2026-06-15,Saudi Arabia,Uruguay,group matches
17,2026-06-16,Austria,Jordan,group matches
18,2026-06-16,Argentina,Algeria,group matches
19,2026-06-16,France,Senegal,group matches
20,2026-06-16,Iraq,Norway,group matches
21,2026-06-17,Portugal,DR Congo,group matches
22,2026-06-17,Uzbekistan,Colombia,group matches
23,2026-06-17,England,Croatia,group matches
24,2026-06-17,Ghana,Panama,group matches
25,2026-06-18,Czech Republic,South Africa,group matches
26,2026-06-18,Mexico,South Korea,group matches
27,2026-06-18,Switzerland,Bosnia and Herzegovina,group matches
28,2026-06-18,Canada,Qatar,group matches
29,2026-06-19,Turkey,Paraguay,group matches
30,2026-06-19,Scotland,Morocco,group matches
31,2026-06-19,Brazil,Haiti,group matches
32,2026-06-19,United States,Australia,group matches
33,2026-06-20,Netherlands,Sweden,group matches
34,2026-06-20,Tunisia,Japan,group matches
35,2026-06-20,Germany,Ivory Coast,group matches
36,2026-06-20,Ecuador,Curaçao,group matches
37,2026-06-21,Belgium,Iran,group matches
38,2026-06-21,New Zealand,Egypt,group matches
39,2026-06-21,Spain,Saudi Arabia,group matches
40,2026-06-21,Uruguay,Cape Verde,group matches
41,2026-06-22,France,Iraq,group matches
42,2026-06-22,Norway,Senegal,group matches
43,2026-06-22,Argentina,Austria,group matches
44,2026-06-22,Jordan,Algeria,group matches
45,2026-06-23,Portugal,Uzbekistan,group matches
46,2026-06-23,Colombia,DR Congo,group matches
47,2026-06-23,England,Ghana,group matches
48,2026-06-23,Panama,Croatia,group matches
49,2026-06-24,Morocco,Haiti,group matches
50,2026-06-24,Bosnia and Herzegovina,Qatar,group matches
51,2026-06-24,Scotland,Brazil,group matches
52,2026-06-24,South Africa,South Korea,group matches
53,2026-06-24,Mexico,Czech Republic,group matches
54,2026-06-24,Canada,Switzerland,group matches
55,2026-06-25,United States,Turkey,group matches
56,2026-06-25,Paraguay,Australia,group matches
57,2026-06-25,Curaçao,Ivory Coast,group matches
58,2026-06-25,Ecuador,Germany,group matches
59,2026-06-25,Japan,Sweden,group matches
60,2026-06-25,Tunisia,Netherlands,group matches
61,2026-06-26,Senegal,Iraq,group matches
62,2026-06-26,Norway,France,group matches
63,2026-06-26,Uruguay,Spain,group matches
64,2026-06-26,New Zealand,Belgium,group matches
65,2026-06-26,Egypt,Iran,group matches
66,2026-06-26,Cape Verde,Saudi Arabia,group matches
67,2026-06-27,Panama,England,group matches
68,2026-06-27,Algeria,Austria,group matches
69,2026-06-27,Jordan,Argentina,group matches
70,2026-06-27,Colombia,Portugal,group matches
71,2026-06-27,DR Congo,Uzbekistan,group matches
72,2026-06-27,Croatia,Ghana,group matches
